profile,actor,DPS,increase,
composite,AP_HB_BS_TotS_Chak,12469,23.29%,
composite,ViV_GT_ST_FS_WI,12465,23.25%,
composite,ToE_GT_ST_FS_Chak,12461,23.21%,
composite,AP_HB_ST_FS_Chak,12437,22.97%,
composite,ViV_GT_BS_MB_WI,12418,22.78%,
composite,ToE_GT_BS_MB_BoP,12416,22.76%,
composite,AP_HB_ST_FS_WI,12407,22.67%,
composite,ViV_Butc_AMoC_FS_BoP,12399,22.59%,
composite,AP_Butc_AMoC_FS_WI,12398,22.58%,
composite,ToE_GT_AMoC_TotS_Chak,12394,22.54%,
composite,ToE_GT_AMoC_TotS_BoP,12393,22.54%,
composite,AP_HB_ST_FS_BoP,12391,22.52%,
composite,ToE_GT_ST_FS_BoP,12386,22.47%,
composite,ViV_Butc_AMoC_FS_WI,12382,22.42%,
composite,AP_Butc_BS_FS_WI,12377,22.38%,
composite,AP_GT_ST_FS_WI,12364,22.25%,
composite,ToE_GT_ST_TotS_Chak,12360,22.21%,
composite,ToE_HB_AMoC_FS_Chak,12358,22.19%,
composite,ViV_Butc_AMoC_FS_Chak,12357,22.18%,
composite,ToE_HB_AMoC_TotS_WI,12354,22.15%,
composite,AP_Butc_ST_FS_Chak,12354,22.15%,
composite,ViV_GT_ST_MB_BoP,12349,22.10%,
composite,ToE_HB_AMoC_FS_WI,12346,22.07%,
composite,ToE_GT_ST_TotS_BoP,12344,22.05%,
composite,ViV_Butc_ST_FS_BoP,12334,21.95%,
composite,ToE_HB_AMoC_FS_BoP,12334,21.95%,
composite,AP_Butc_AMoC_FS_BoP,12332,21.93%,
composite,ToE_GT_AMoC_TotS_WI,12325,21.86%,
composite,ToE_GT_AMoC_FS_WI,12316,21.77%,
composite,AP_Butc_ST_TotS_WI,12316,21.77%,
composite,ViV_Butc_ST_FS_Chak,12313,21.74%,
composite,ToE_Butc_AMoC_FS_Chak,12296,21.57%,
composite,ViV_Butc_ST_FS_WI,12285,21.47%,
composite,ViV_GT_AMoC_MB_BoP,12281,21.42%,
composite,AP_Butc_AMoC_TotS_WI,12269,21.31%,
composite,ToE_GT_BS_MB_Chak,12268,21.30%,
composite,ViV_HB_AMoC_MB_WI,12267,21.29%,
composite,ToE_HB_AMoC_TotS_BoP,12264,21.26%,
composite,ViV_Butc_BS_MB_BoP,12260,21.22%,
composite,ViV_Butc_BS_TotS_WI,12252,21.14%,
composite,ViV_HB_ST_MB_BoP,12247,21.09%,
composite,ToE_HB_ST_FS_Chak,12246,21.08%,
composite,ToE_HB_ST_TotS_WI,12246,21.08%,
composite,AP_Butc_ST_FS_BoP,12244,21.06%,
composite,ViV_HB_AMoC_MB_BoP,12243,21.05%,
composite,AP_Butc_ST_FS_WI,12238,21.00%,
composite,ToE_Butc_BS_MB_BoP,12234,20.96%,
composite,ViV_HB_ST_MB_WI,12231,20.94%,
composite,ToE_HB_ST_FS_BoP,12222,20.85%,
composite,AP_GT_ST_MB_BoP,12220,20.83%,
composite,ToE_GT_ST_TotS_WI,12220,20.82%,
composite,ToE_HB_AMoC_TotS_Chak,12217,20.80%,
composite,ToE_Butc_BS_TotS_WI,12212,20.75%,
composite,ToE_HB_ST_FS_WI,12208,20.71%,
composite,ToE_Butc_BS_TotS_BoP,12204,20.67%,
composite,ToE_HB_ST_TotS_BoP,12204,20.66%,
composite,AP_GT_BS_MB_BoP,12198,20.61%,
composite,ToE_GT_BS_MB_WI,12198,20.61%,
composite,ToE_GT_ST_FS_WI,12189,20.51%,
composite,AP_GT_AMoC_MB_BoP,12185,20.47%,
composite,ViV_Butc_BS_TotS_BoP,12184,20.47%,
composite,AP_Butc_BS_TotS_WI,12184,20.47%,
composite,AP_Butc_BS_TotS_BoP,12172,20.34%,
composite,ToE_Butc_ST_FS_Chak,12171,20.34%,
composite,AP_GT_BS_MB_Chak,12169,20.31%,
composite,ViV_Butc_ST_TotS_WI,12168,20.31%,
composite,ToE_HB_ST_TotS_Chak,12163,20.26%,
composite,ToE_Butc_AMoC_FS_BoP,12159,20.22%,
composite,ToE_Butc_AMoC_FS_WI,12155,20.18%,
composite,ViV_GT_ST_MB_Chak,12153,20.16%,
composite,AP_Butc_ST_TotS_BoP,12129,19.92%,
composite,ViV_GT_AMoC_MB_Chak,12124,19.87%,
composite,ViV_Butc_BS_MB_WI,12118,19.81%,
composite,AP_Butc_BS_MB_BoP,12117,19.80%,
composite,ToE_HB_BS_MB_WI,12100,19.64%,
composite,ToE_HB_BS_MB_BoP,12100,19.64%,
composite,ViV_HB_AMoC_MB_Chak,12098,19.62%,
composite,ViV_HB_ST_MB_Chak,12092,19.56%,
composite,ToE_Butc_BS_MB_Chak,12090,19.54%,
composite,AP_GT_BS_MB_WI,12080,19.44%,
composite,AP_Butc_AMoC_MB_WI,12079,19.43%,
composite,ToE_Butc_BS_MB_WI,12067,19.31%,
composite,ViV_GT_AMoC_MB_WI,12066,19.30%,
composite,AP_GT_AMoC_MB_Chak,12060,19.24%,
composite,AP_GT_AMoC_MB_WI,12055,19.19%,
composite,ToE_Butc_ST_FS_BoP,12050,19.14%,
composite,AP_Butc_AMoC_MB_BoP,12049,19.13%,
composite,ToE_Butc_ST_FS_WI,12044,19.08%,
composite,ViV_Butc_AMoC_TotS_WI,12042,19.07%,
composite,AP_Butc_BS_MB_Chak,12040,19.05%,
composite,ViV_GT_ST_MB_WI,12037,19.01%,
composite,AP_HB_BS_MB_WI,12035,18.99%,
composite,AP_Butc_ST_MB_BoP,12029,18.94%,
composite,ViV_Butc_BS_MB_Chak,12023,18.88%,
composite,AP_GT_ST_MB_Chak,12022,18.86%,
composite,ToE_GT_ST_MB_BoP,12012,18.77%,
composite,AP_Butc_AMoC_TotS_BoP,12010,18.74%,
composite,ViV_Butc_ST_TotS_BoP,11999,18.64%,
composite,ViV_Butc_ST_MB_BoP,11991,18.56%,
composite,AP_Butc_ST_MB_WI,11990,18.55%,
composite,ToE_GT_AMoC_MB_BoP,11984,18.49%,
composite,AP_Butc_BS_MB_WI,11981,18.46%,
composite,AP_HB_AMoC_MB_WI,11979,18.44%,
composite,AP_HB_BS_MB_BoP,11976,18.41%,
composite,ToE_Butc_ST_TotS_WI,11975,18.40%,
composite,AP_GT_ST_MB_WI,11972,18.37%,
composite,ToE_HB_BS_MB_Chak,11960,18.25%,
composite,ToE_Butc_AMoC_TotS_WI,11956,18.22%,
composite,ToE_Butc_BS_TotS_Chak,11929,17.95%,
composite,AP_Butc_BS_TotS_Chak,11929,17.94%,
composite,AP_Butc_AMoC_MB_Chak,11923,17.88%,
composite,AP_Butc_ST_MB_Chak,11922,17.88%,
composite,ViV_Butc_AMoC_MB_BoP,11912,17.78%,
composite,AP_HB_BS_MB_Chak,11903,17.69%,
composite,ViV_Butc_AMoC_MB_WI,11901,17.67%,
composite,ViV_Butc_ST_MB_WI,11895,17.61%,
composite,AP_HB_ST_MB_WI,11889,17.55%,
composite,ToE_GT_AMoC_MB_Chak,11882,17.48%,
composite,ToE_Butc_ST_TotS_BoP,11875,17.41%,
composite,ToE_GT_ST_MB_Chak,11857,17.23%,
composite,ToE_GT_AMoC_MB_WI,11856,17.23%,
composite,ToE_Butc_ST_MB_BoP,11842,17.08%,
composite,ToE_Butc_AMoC_MB_BoP,11838,17.04%,
composite,AP_HB_AMoC_MB_BoP,11834,17.01%,
composite,ToE_Butc_AMoC_TotS_BoP,11824,16.90%,
composite,AP_Butc_ST_TotS_Chak,11814,16.81%,
composite,AP_HB_ST_MB_BoP,11804,16.71%,
composite,ToE_Butc_AMoC_MB_WI,11795,16.62%,
composite,ToE_GT_ST_MB_WI,11794,16.61%,
composite,AP_HB_AMoC_MB_Chak,11769,16.37%,
