profile,actor,DPS,increase,
single_target,ToE_Butc_AMoC_TotS_BoP,10896,14.19%,
single_target,ViV_Butc_AMoC_MB_BoP,10894,14.17%,
single_target,AP_HB_ST_MB_Chak,10888,14.11%,
single_target,ViV_Butc_AMoC_MB_WI,10883,14.05%,
single_target,ToE_Butc_ST_FS_Chak,10882,14.05%,
single_target,AP_Butc_ST_TotS_Chak,10812,13.31%,
single_target,ToE_Butc_ST_MB_BoP,10800,13.19%,
single_target,ToE_Butc_AMoC_MB_WI,10789,13.07%,
single_target,ToE_Butc_ST_MB_WI,10775,12.92%,
single_target,ToE_Butc_AMoC_MB_BoP,10770,12.87%,
single_target,AP_Butc_ST_MB_Chak,10767,12.84%,
single_target,AP_Butc_AMoC_MB_Chak,10752,12.68%,
single_target,ToE_HB_AMoC_MB_Chak,10733,12.49%,
single_target,ToE_HB_ST_MB_Chak,10715,12.29%,
single_target,ViV_Butc_ST_TotS_Chak,10698,12.12%,
single_target,ViV_Butc_ST_MB_Chak,10634,11.45%,
single_target,ToE_Butc_ST_TotS_Chak,10614,11.23%,
single_target,AP_Butc_AMoC_TotS_Chak,10597,11.05%,
single_target,ToE_Butc_ST_MB_Chak,10553,10.59%,
single_target,ToE_Butc_AMoC_MB_Chak,10537,10.43%,
single_target,ViV_Butc_AMoC_MB_Chak,10528,10.33%,
single_target,ToE_Butc_AMoC_TotS_Chak,10447,9.49%,
single_target,ViV_Butc_AMoC_TotS_Chak,10256,7.49%,
single_target,Base,9542,0.00%,
