profile,actor,DPS,increase,
composite,kul_tiran_cannonball_runner_355,12389,3.73%,
composite,xalzaixs_veiled_eye_355,12389,3.72%,
composite,tiny_electromental_in_a_jar_355,12388,3.72%,
composite,construct_overcharger_310,12388,3.72%,
composite,frenetic_corpuscle_355,12387,3.71%,
composite,mchimbas_ritual_bandages_355,12384,3.69%,
composite,landois_scrutiny_310,12379,3.64%,
composite,dunewalkers_survival_kit_385,12369,3.56%,
composite,dunewalkers_survival_kit_370,12368,3.55%,
composite,dunewalkers_survival_kit_365,12368,3.55%,
composite,void_portal_stone_365,12368,3.55%,
composite,dunewalkers_survival_kit_360,12368,3.55%,
composite,dunewalkers_survival_kit_375,12368,3.55%,
composite,dunewalkers_survival_kit_340,12368,3.55%,
composite,void_portal_stone_380,12368,3.55%,
composite,void_portal_stone_340,12368,3.55%,
composite,void_portal_stone_385,12368,3.55%,
composite,void_portal_stone_375,12368,3.55%,
composite,dunewalkers_survival_kit_350,12368,3.55%,
composite,razorcrest_of_the_enraged_matriarch_355,12368,3.55%,
composite,kul_tiran_cannonball_runner_350,12367,3.55%,
composite,dunewalkers_survival_kit_380,12367,3.55%,
composite,void_portal_stone_370,12367,3.55%,
composite,void_portal_stone_360,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_350,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_365,12367,3.54%,
composite,tiny_electromental_in_a_jar_350,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_345,12367,3.54%,
composite,dunewalkers_survival_kit_355,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_340,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_380,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_375,12367,3.54%,
composite,void_portal_stone_350,12367,3.54%,
composite,razorcrest_of_the_enraged_matriarch_360,12367,3.54%,
composite,xalzaixs_veiled_eye_350,12367,3.54%,
composite,dunewalkers_survival_kit_345,12366,3.54%,
composite,razorcrest_of_the_enraged_matriarch_370,12366,3.54%,
composite,razorcrest_of_the_enraged_matriarch_385,12366,3.53%,
composite,void_portal_stone_345,12366,3.53%,
composite,frenetic_corpuscle_350,12366,3.53%,
composite,void_portal_stone_355,12365,3.53%,
composite,mchimbas_ritual_bandages_350,12364,3.52%,
composite,xalzaixs_veiled_eye_345,12350,3.40%,
composite,kul_tiran_cannonball_runner_345,12349,3.39%,
composite,frenetic_corpuscle_345,12348,3.39%,
composite,tiny_electromental_in_a_jar_345,12347,3.37%,
composite,mchimbas_ritual_bandages_345,12346,3.37%,
